dataset,max_leaf_nodes,seed,CART,HS-CART,best_lambda_tree,RF,HS-RF,best_lambda_rf
"breast_cancer (binary, AUC)",4,0,0.9404205607476636,0.9404205607476636,2.0,0.9748101635514018,0.9748101635514018,0.1
"breast_cancer (binary, AUC)",4,1,0.9555344626168225,0.9555344626168225,2.0,0.9808703271028038,0.9798481308411215,25.0
"breast_cancer (binary, AUC)",4,2,0.9340683411214954,0.9340683411214954,5.0,0.9910922897196262,0.9908002336448598,25.0
"breast_cancer (binary, AUC)",4,3,0.9426839953271028,0.9426839953271028,0.1,0.9886098130841121,0.9884637850467289,0.1
"breast_cancer (binary, AUC)",4,4,0.9453125,0.9453125,5.0,0.9782418224299065,0.9782418224299065,0.1
"breast_cancer (binary, AUC)",4,5,0.9364047897196263,0.9352365654205608,50.0,0.994304906542056,0.994304906542056,1.0
"breast_cancer (binary, AUC)",4,6,0.9696991822429908,0.9696991822429908,0.1,0.9820385514018692,0.981892523364486,2.0
"breast_cancer (binary, AUC)",4,7,0.9419538551401869,0.9419538551401869,25.0,0.9937207943925233,0.9931366822429907,10.0
"breast_cancer (binary, AUC)",4,8,0.9013580607476636,0.9175671728971961,5.0,0.9905081775700935,0.9905081775700935,0.1
"breast_cancer (binary, AUC)",4,9,0.908732476635514,0.908732476635514,2.0,0.9883177570093458,0.9881717289719626,1.0
"breast_cancer (binary, AUC)",8,0,0.9296144859813084,0.9418808411214954,50.0,0.9772926401869159,0.9788259345794392,10.0
"breast_cancer (binary, AUC)",8,1,0.9245035046728971,0.9750292056074767,200.0,0.9788989485981308,0.9788989485981308,0.1
"breast_cancer (binary, AUC)",8,2,0.9446553738317758,0.9710864485981309,200.0,0.9919684579439252,0.9919684579439252,0.1
"breast_cancer (binary, AUC)",8,3,0.9146466121495327,0.9494012850467289,2.0,0.990070093457944,0.9896320093457944,10.0
"breast_cancer (binary, AUC)",8,4,0.9376460280373832,0.946553738317757,10.0,0.9762704439252337,0.977803738317757,2.0
"breast_cancer (binary, AUC)",8,5,0.953855140186916,0.9523948598130841,1.0,0.9964953271028036,0.9947429906542056,100.0
"breast_cancer (binary, AUC)",8,6,0.9436331775700936,0.9718165887850467,2.0,0.9830607476635513,0.9801401869158879,25.0
"breast_cancer (binary, AUC)",8,7,0.9629088785046729,0.9786799065420559,50.0,0.9948890186915887,0.9948890186915887,0.1
"breast_cancer (binary, AUC)",8,8,0.8923773364485981,0.9097546728971964,2.0,0.9921144859813084,0.9893399532710281,200.0
