dataset,max_leaf_nodes,CART_mean,CART_std,HS-CART_mean,HS-CART_std,RF_mean,RF_std,HS-RF_mean,HS-RF_std,mean_best_lambda_tree,mean_best_lambda_rf
"breast_cancer (binary, AUC)",4,0.9376168224299064,0.02006919726664631,0.9391209112149532,0.017300669631900936,0.9862514602803738,0.006780662008500226,0.9860178154205608,0.006783736279311492,9.62,6.44
"breast_cancer (binary, AUC)",8,0.9290668808411215,0.025050637022812336,0.9543443341121496,0.020801694067611093,0.9871422313084113,0.007559170814735184,0.9866457359813084,0.006931714557426452,52.2,34.739999999999995
"breast_cancer (binary, AUC)",16,0.9176255841121496,0.039804104936693264,0.9578198014018693,0.01771231908626882,0.9872663551401869,0.007605554906200847,0.987865070093458,0.006240485012711283,73.02000000000001,23.63
"breast_cancer (binary, AUC)",32,0.9294684579439252,0.028243540551955566,0.9632374415887849,0.01743489051253099,0.9880037967289719,0.007530562201661221,0.9882447429906541,0.006138390641642421,73.02000000000001,23.44
"diabetes (regression, R2)",4,0.30114649202198035,0.09686857378930964,0.3092204087838216,0.08198348557342695,0.39230510046882744,0.0690344536292568,0.3922866560362167,0.06899079858541753,36.0,0.1
"diabetes (regression, R2)",8,0.29618057341882575,0.07478890874107694,0.33717285136000485,0.06711049188887182,0.41091939065653793,0.07669634245869242,0.41105167708749696,0.07565225849961306,40.0,1.43
"diabetes (regression, R2)",16,0.19476826764657748,0.10804797574701368,0.3316369931866955,0.08247002245852622,0.40726531053507653,0.08114156793087973,0.4107815492239137,0.07401939711335476,47.5,9.1
"diabetes (regression, R2)",32,0.07687784113257067,0.10926508954357476,0.3219308256635755,0.08043875749926259,0.3950963287015599,0.08250050091418615,0.4054614223333166,0.07459439660317298,52.5,10.5
"wine (3-class, accuracy)",4,0.8851851851851851,0.061604814567282215,0.8851851851851851,0.061604814567282215,0.9759259259259258,0.021472255717192714,0.9759259259259258,0.021472255717192714,12.58,8.559999999999999
"wine (3-class, accuracy)",8,0.9222222222222222,0.049228153178708364,0.9111111111111111,0.05367176572662755,0.9833333333333332,0.013664162729122641,0.9833333333333332,0.013664162729122641,55.06,15.05
"wine (3-class, accuracy)",16,0.9277777777777778,0.04573736679714247,0.9111111111111111,0.05367176572662755,0.9851851851851852,0.017017344138382993,0.9833333333333332,0.018415350481699143,57.55,15.05
"wine (3-class, accuracy)",32,0.9277777777777778,0.04573736679714247,0.9111111111111111,0.05367176572662755,0.9851851851851852,0.017017344138382993,0.9833333333333332,0.018415350481699143,57.55,15.05
